Time,House_61,House_62,House_63,House_64,House_65,House_66,House_67,House_68,House_69,House_70
2013-01-01 01:00:00,0.076,0.193,0.618,0.193,0.169,0.556,0.057,0.792,0.121,0.217
2013-01-01 02:00:00,0.072,0.104,0.041,0.09,0.17,0.786,0.057,0.556,0.077,0.096
2013-01-01 03:00:00,0.082,0.098,0,0.149,0.158,0.254,0.058,0.553,0.117,0.064
2013-01-01 04:00:00,0.082,0.118,0,0.177,0.265,0.22,0.059,0.456,0.094,0.064
2013-01-01 05:00:00,0.075,0.085,0.245,0.146,0.247,0.17,0.055,0.431,0.096,0.07
2013-01-01 06:00:00,0.073,0.107,0.145,0.09,0.312,0.184,0.058,0.52,0.107,0.066
2013-01-01 07:00:00,0.08,0.089,0.018,0.089,0.288,0.221,0.055,0.524,0.131,0.064
2013-01-01 08:00:00,0.079,0.151,0.283,0.124,0.269,0.245,0.056,0.925,1.741,0.063
2013-01-01 09:00:00,0.075,0.267,0.133,0.234,0.258,0.261,0.054,0.91,1.085,0.259
2013-01-01 10:00:00,0.07,0.269,0,0.202,0.18,0.284,0.057,0.926,1.037,0.245
2013-01-01 11:00:00,0.08,0.288,0.197,0.927,0.171,0.293,0.055,1.483,0.471,0.076
2013-01-01 12:00:00,0.081,0.303,0.048,0.85,0.172,1.291,0.055,3.314,0.462,0.146
2013-01-01 13:00:00,0.071,0.285,0.477,0.915,0.158,0.469,0.058,3.523,0.964,0.111
2013-01-01 14:00:00,0.077,0.289,0.104,0.863,0.176,0.629,0.058,2.247,1.597,0.105
2013-01-01 15:00:00,0.082,0.289,0,0.411,0.156,0.44,0.065,3.948,0.438,0.128
2013-01-01 16:00:00,0.081,0.288,0.065,0.538,0.169,0.656,0.056,3.857,0.726,0.139
2013-01-01 17:00:00,0.069,0.369,0.072,0.757,0.16,1.03,0.059,3.012,1.12,0.261
2013-01-01 18:00:00,0.079,0.46,0.972,0.798,0.152,0.991,0.057,3.211,1.304,0.275
2013-01-01 19:00:00,0.081,0.453,0.076,0.87,0.174,1.169,0.054,3.697,1.682,0.319
2013-01-01 20:00:00,0.08,0.455,0.322,0.64,0.151,0.714,0.057,1.661,1.698,0.362
2013-01-01 21:00:00,0.071,0.431,1.195,0.482,0.231,0.8,0.947,2.064,1.336,0.228
2013-01-01 22:00:00,0.279,0.337,1.146,0.45,0.958,0.899,1.106,2.718,0.828,0.193
2013-01-01 23:00:00,0.638,0.354,0.216,1.716,0.551,0.804,1.141,3.234,0.613,0.197
2013-01-02 00:00:00,0.278,0.16,0.319,0.848,0.447,0.359,0.784,0.682,0.199,0.156
2013-01-02 01:00:00,0.103,0.098,0.215,0.178,0.444,0.332,0.572,0.61,0.109,0.061
2013-01-02 02:00:00,0.092,0.104,0,0.118,0.418,0.235,0.52,0.564,0.084,0.065
2013-01-02 03:00:00,0.099,0.079,0,0.091,0.378,0.18,0.46,0.57,0.131,0.064
2013-01-02 04:00:00,0.102,0.106,0.241,0.108,0.374,0.186,0.453,0.607,0.07,0.065
2013-01-02 05:00:00,0.1,0.074,0.042,0.12,0.375,0.163,0.448,0.541,0.135,0.063
2013-01-02 06:00:00,0.097,0.103,0.488,0.025,0.356,0.209,0.449,0.66,0.06,0.067
2013-01-02 07:00:00,0.09,0.129,0,0.023,0.364,0.166,0.509,0.666,0.154,0.071
