Time,House_41,House_42,House_43,House_44,House_45,House_46,House_47,House_48,House_49,House_50
2013-01-01 01:00:00,0.073,0.1,0.572,0.447,0.164,0.049,0.101,0.458,0.439,0.155
2013-01-01 02:00:00,0.061,0.095,0.544,0.402,0.175,0.05,0.114,0.343,0.692,0.113
2013-01-01 03:00:00,0.071,0.089,0.52,0.411,0.341,0.067,0.088,0.355,0.317,0.091
2013-01-01 04:00:00,0.065,0.094,0.56,0.552,0.42,0.079,0.091,0.307,0.318,0.09
2013-01-01 05:00:00,0.063,0.09,0.591,0.658,0.291,0.063,0.105,0.3,0.336,0.09
2013-01-01 06:00:00,0.068,0.091,0.549,0.41,0.468,0.05,0.093,0.293,0.283,0.09
2013-01-01 07:00:00,0.076,0.089,0.531,0.706,0.093,0.086,0.089,0.281,0.316,0.09
2013-01-01 08:00:00,0.103,0.101,0.529,0.51,0.048,0.057,0.095,0.339,0.326,0.089
2013-01-01 09:00:00,0.203,0.167,0.514,0.45,0.057,0.046,0.288,0.34,0.737,0.09
2013-01-01 10:00:00,0.843,0.093,0.473,0.525,0.088,0.419,0.284,0.312,0.384,0.09
2013-01-01 11:00:00,0.805,0.089,0.489,0.363,0.036,0.207,0.219,0.305,0.467,0.09
2013-01-01 12:00:00,0.491,0.088,0.478,0.367,0.225,0.153,0.16,0.328,0.407,0.201
2013-01-01 13:00:00,0.207,0.089,0.536,0.198,0.27,0.174,0.088,0.283,0.421,0.092
2013-01-01 14:00:00,0.198,0.091,0.469,0.303,0.268,0.101,0.166,0.475,0.335,0.092
2013-01-01 15:00:00,0.197,0.102,0.449,0.426,0.308,0.195,0.108,0.511,0.338,0.091
2013-01-01 16:00:00,0.197,0.099,0.463,0.585,0.715,0.148,0.149,1.323,0.691,0.09
2013-01-01 17:00:00,0.256,0.144,1.347,0.361,0.234,0.209,0.313,1.439,0.388,0.094
2013-01-01 18:00:00,0.84,0.087,1.401,0.43,0.235,0.206,0.263,2.036,0.452,0.315
2013-01-01 19:00:00,0.898,0.109,1.391,0.449,0.442,0.324,0.269,2.064,0.491,0.164
2013-01-01 20:00:00,0.638,0.093,1.487,0.503,0.415,0.231,0.25,1.579,0.494,0.163
2013-01-01 21:00:00,0.286,0.111,1.458,0.375,0.337,0.37,0.353,1.656,0.502,0.161
2013-01-01 22:00:00,0.171,0.088,1.395,0.235,0.958,0.161,0.094,1.589,0.462,0.161
2013-01-01 23:00:00,0.063,0.085,1.417,0.219,0.281,0.156,0.095,1.334,0.466,0.163
2013-01-02 00:00:00,0.077,0.087,1.467,0.223,0.389,0.156,0.084,1.036,0.446,0.166
2013-01-02 01:00:00,0.063,0.105,0.582,0.544,0.151,0.097,0.088,1.253,0.38,0.175
2013-01-02 02:00:00,0.068,0.102,0.573,1.198,0.076,0.05,0.101,0.664,0.761,0.113
2013-01-02 03:00:00,0.071,0.093,0.523,0.971,0.024,0.046,0.096,0.42,0.338,0.093
2013-01-02 04:00:00,0.063,0.087,0.518,0.836,0.087,0.061,0.074,0.296,0.307,0.094
2013-01-02 05:00:00,0.063,0.088,0.553,0.672,0.017,0.084,0.091,0.301,0.353,0.093
2013-01-02 06:00:00,0.072,0.087,0.589,0.439,0.111,0.055,0.098,0.271,0.312,0.092
2013-01-02 07:00:00,0.069,0.09,0.552,0.465,0.012,0.049,0.091,0.283,0.314,0.091
2013-01-02 08:00:00,0.104,0.098,0.531,0.446,0.097,0.094,0.083,0.298,0.33,0.091
2013-01-02 09:00:00,0.49,0.169,0.475,0.53,0.029,0.1,0.339,0.268,0.471,0.091
2013-01-02 10:00:00,0.722,0.092,0.647,0.359,0.247,0.372,0.204,0.279,0.652,0.091
2013-01-02 11:00:00,0.304,0.089,0.521,0.432,0.212,0.929,0.242,0.284,0.343,0.092
2013-01-02 12:00:00,0.354,0.086,0.493,0.423,0.847,0.321,0.087,0.338,0.406,0.201
2013-01-02 13:00:00,0.287,0.083,1.29,0.308,0.287,0.09,0.167,0.344,0.465,0.182
2013-01-02 14:00:00,0.297,0.097,1.808,0.439,0.226,0.059,0.244,0.371,0.379,0.454
2013-01-02 15:00:00,0.249,0.103,1.879,0.336,0.128,0.103,0.325,0.668,0.319,0.151
2013-01-02 16:00:00,0.274,0.09,2.686,0.508,0.255,0.263,0.148,0.442,0.648,0.171
2013-01-02 17:00:00,0.373,0.145,2.076,0.458,2.222,0.148,0.238,0.414,0.333,0.176
2013-01-02 18:00:00,1.372,0.088,3.064,0.515,1.055,0.388,0.253,1.443,0.331,0.372
2013-01-02 19:00:00,1.511,0.107,3.432,0.671,0.985,0.251,0.246,1.406,0.557,0.156
2013-01-02 20:00:00,1.581,0.09,4.391,0.926,1.219,1.806,0.346,0.656,0.678,0.157
2013-01-02 21:00:00,0.585,0.109,3.995,0.688,0.566,1.782,0.163,0.524,0.458,0.156
2013-01-02 22:00:00,0.064,0.09,3.945,0.462,0.453,0.218,0.092,0.601,0.495,0.156
2013-01-02 23:00:00,0.074,0.085,2.266,0.65,0.371,0.083,0.085,0.991,0.489,0.162
2013-01-03 00:00:00,0.062,0.084,0.604,0.706,0.262,0.062,0.087,1.333,0.423,0.156
2013-01-03 01:00:00,0.063,0.104,0.564,0.652,0.155,0.093,0.092,0.445,0.595,0.134
2013-01-03 02:00:00,0.075,0.097,0.543,0.404,0.043,0.066,0.102,0.952,0.343,0.099
2013-01-03 03:00:00,0.063,0.084,0.563,0.601,0.046,0.064,0.077,0.834,0.333,0.091
2013-01-03 04:00:00,0.064,0.086,0.63,0.753,0.074,0.073,0.085,0.291,0.289,0.091
2013-01-03 05:00:00,0.065,0.105,0.546,0.902,0.072,0.096,0.097,0.289,0.336,0.09
2013-01-03 06:00:00,0.072,0.096,0.546,0.651,0.034,0.047,0.087,0.273,0.322,0.09
2013-01-03 07:00:00,0.06,0.082,0.782,0.419,0.055,0.046,0.098,0.268,0.28,0.09
2013-01-03 08:00:00,0.099,0.09,0.592,0.427,0.074,0.077,0.073,0.278,0.323,0.091
2013-01-03 09:00:00,0.538,0.173,0.468,0.411,0.058,0.183,0.126,0.279,0.333,0.09
2013-01-03 10:00:00,0.769,0.093,2.254,0.531,0.029,0.137,0.401,0.324,0.363,0.09
2013-01-03 11:00:00,0.189,0.092,1.597,0.683,0.284,0.143,0.234,0.28,0.603,0.171
2013-01-03 12:00:00,0.932,0.087,1.939,0.477,0.562,0.249,0.146,0.289,0.398,0.091
2013-01-03 13:00:00,0.637,0.087,2.231,0.517,1.305,0.081,0.176,0.341,0.507,0.406
2013-01-03 14:00:00,0.515,0.086,1.853,0.51,0.243,0.227,0.104,0.414,0.335,0.204
2013-01-03 15:00:00,0.613,0.106,1.542,0.468,0.083,0.174,0.102,0.387,0.646,0.167
2013-01-03 16:00:00,0.202,0.094,1.444,0.672,0.105,0.082,0.18,0.413,0.622,0.166
2013-01-03 17:00:00,0.585,0.139,3.054,2.233,0.041,0.076,0.215,0.423,0.301,0.154
2013-01-03 18:00:00,0.432,0.085,4.395,0.585,0.408,0.243,0.588,0.553,0.432,0.378
2013-01-03 19:00:00,0.647,0.109,5.365,0.593,0.95,1.404,0.255,1.531,0.517,0.157
2013-01-03 20:00:00,0.413,0.093,4.486,0.538,0.332,0.247,0.247,0.915,0.61,0.156
2013-01-03 21:00:00,0.322,0.091,3.979,0.492,0.523,0.342,0.297,0.454,0.484,0.157
2013-01-03 22:00:00,0.084,0.116,2.287,0.553,0.321,0.161,0.081,0.538,0.508,0.155
2013-01-03 23:00:00,0.074,0.104,1.415,0.958,0.44,0.14,0.102,0.581,0.47,0.158
2013-01-04 00:00:00,0.063,0.1,1.45,0.551,0.613,0.113,0.101,0.51,0.444,0.158
2013-01-04 01:00:00,0.066,0.085,0.587,0.457,0.298,0.081,0.078,0.882,0.44,0.156
2013-01-04 02:00:00,0.071,0.086,0.588,0.542,0.182,0.049,0.087,1.11,0.56,0.108
2013-01-04 03:00:00,0.063,0.099,0.567,0.495,0.066,0.063,0.086,0.327,0.321,0.091
2013-01-04 04:00:00,0.067,0.107,0.548,0.236,0.045,0.097,0.098,0.294,0.347,0.091
2013-01-04 05:00:00,0.07,0.092,0.545,0.172,0.023,0.052,0.094,0.296,0.298,0.09
2013-01-04 06:00:00,0.063,0.084,0.624,0.17,0.071,0.06,0.082,0.28,0.632,0.09
2013-01-04 07:00:00,0.063,0.087,0.746,0.47,0.069,0.096,0.085,0.272,0.787,0.09
2013-01-04 08:00:00,0.114,0.099,0.641,0.482,0.018,0.207,0.085,0.278,0.556,0.09
2013-01-04 09:00:00,0.277,0.167,0.805,0.639,0.054,0.087,0.321,0.279,0.324,0.089
2013-01-04 10:00:00,0.335,0.09,1.274,0.515,0.071,0.076,0.187,0.316,0.324,0.091
2013-01-04 11:00:00,0.269,0.085,1.42,0.763,0.343,0.084,0.148,0.277,0.295,0.172
2013-01-04 12:00:00,0.201,0.104,1.822,0.679,1.242,0.045,0.209,0.271,0.295,0.091
2013-01-04 13:00:00,0.27,0.159,1.713,0.477,0.296,0.048,0.163,0.571,0.331,0.151
2013-01-04 14:00:00,0.318,0.196,0.55,0.411,0.549,0.1,0.088,1.253,0.588,0.112
2013-01-04 15:00:00,0.199,0.239,0.531,0.58,0.4,0.053,0.097,0.682,0.356,0.547
2013-01-04 16:00:00,0.185,0.276,0.474,0.743,0.243,0.283,0.282,0.558,0.32,0.168
2013-01-04 17:00:00,0.292,0.284,1.203,0.515,0.222,0.263,0.184,1.755,0.379,0.18
2013-01-04 18:00:00,0.62,0.186,3.366,0.578,0.057,0.341,0.498,0.729,0.512,0.167
2013-01-04 19:00:00,0.665,0.22,5.064,0.502,0.032,0.296,0.263,1.581,0.633,0.233
2013-01-04 20:00:00,0.663,0.215,5.118,0.478,0.072,0.142,0.752,1.168,0.609,0.158
2013-01-04 21:00:00,0.251,0.18,4.843,0.404,0.075,0.122,0.271,1.016,0.509,0.156
2013-01-04 22:00:00,0.227,0.209,4.008,0.611,0.043,0.12,0.085,0.519,0.443,0.156
