Time,House_31,House_32,House_33,House_34,House_35,House_36,House_37,House_38,House_39,House_40
2013-01-01 01:00:00,0.987,0.467,0.068,0.287,0.053,0.13,0.096,2.459,0.148,0.098
2013-01-01 02:00:00,0.57,0.415,0.079,0.044,0.134,0.122,0.14,0.608,0.162,0.312
2013-01-01 03:00:00,0.53,0.127,0.08,0.034,0.056,0.119,0.186,0.368,0.134,0.102
2013-01-01 04:00:00,0.457,0.146,0.075,0.004,0.119,0.098,0.126,0.147,0.133,0.067
2013-01-01 05:00:00,0.483,0.315,0.079,0.03,0.052,0.093,0.118,0.212,0.111,0.116
2013-01-01 06:00:00,0.46,0.238,0.079,0.033,0.125,0.096,0.295,0.033,0.154,0.108
2013-01-01 07:00:00,0.456,0.218,0.069,0,0.048,0.118,0.279,0.025,0.134,0.094
2013-01-01 08:00:00,0.558,0.577,0.199,0.039,0.175,0.149,0.355,0.009,0.095,0.109
2013-01-01 09:00:00,0.541,0.632,0.137,0.569,0.239,0.818,0.793,0.022,0.156,1.117
2013-01-01 10:00:00,0.898,0.8,0.069,0.601,2.192,1.881,0.685,0.137,0.13,1.06
2013-01-01 11:00:00,0.444,1.846,0.079,0.153,2.081,0.365,0.418,0.014,0.149,1.514
2013-01-01 12:00:00,0.637,0.823,0.079,0.441,0.396,1.307,0.302,0.008,0.235,0.915
2013-01-01 13:00:00,0.433,0.724,0.068,0.014,0.131,0.171,0.357,0.022,1.04,1.993
2013-01-01 14:00:00,1.024,1.036,0.078,0.035,0.112,0.177,0.31,0.022,0.84,0.244
2013-01-01 15:00:00,0.341,0.982,0.078,0.214,0.129,0.327,0.519,0.004,0.364,0.249
2013-01-01 16:00:00,0.78,0.887,0.069,0.111,0.212,0.204,0.418,0.019,0.286,0.24
2013-01-01 17:00:00,1.137,0.984,0.078,0.166,0.416,0.589,0.491,0.039,0.333,0.451
2013-01-01 18:00:00,1.086,1.727,0.072,0.763,0.377,0.746,0.6,0.093,0.328,0.542
2013-01-01 19:00:00,1.32,1.856,0.12,0.244,0.309,0.442,0.642,0.103,0.311,0.306
2013-01-01 20:00:00,1.703,1.188,0.116,0.648,0.427,0.544,0.511,0.13,0.346,0.422
2013-01-01 21:00:00,1.055,1.763,0.105,0.212,0.372,0.37,0.514,0.09,0.369,0.323
2013-01-01 22:00:00,1.214,1.67,0.124,0.239,0.416,0.247,0.389,0.104,0.339,0.315
2013-01-01 23:00:00,1.359,0.404,0.162,0.262,0.286,0.2,0.116,0.039,0.313,0.321
2013-01-02 00:00:00,0.745,0.23,0.079,0.459,0.231,0.161,0.09,1.466,0.199,0.102
2013-01-02 01:00:00,0.359,0.136,0.069,0.042,0.083,0.136,0.119,2.98,0.154,0.106
2013-01-02 02:00:00,0.327,0.131,0.08,0.035,0.086,0.129,0.136,2.018,0.117,0.113
2013-01-02 03:00:00,0.277,0.172,0.078,0.015,0.095,0.113,0.099,0.339,0.106,0.104
2013-01-02 04:00:00,0.29,0.18,0.077,0.016,0.078,0.114,0.17,0.169,0.149,0.095
2013-01-02 05:00:00,0.294,0.245,0.08,0.031,0.106,0.142,0.24,0.185,0.149,0.1
2013-01-02 06:00:00,0.36,0.202,0.069,0,0.048,0.206,0.207,0.213,0.09,0.17
2013-01-02 07:00:00,0.299,0.295,0.079,0.035,0.12,1.249,0.152,0.461,0.133,0.37
2013-01-02 08:00:00,0.28,0.656,0.189,0.035,0.239,0.79,0.203,0.587,0.144,0.55
2013-01-02 09:00:00,0.281,0.518,0.134,0.001,0.277,0.528,0.105,0.187,0.107,0.194
2013-01-02 10:00:00,0.257,0.87,0.068,0.032,0.097,0.275,0.194,0.052,0.111,0.091
2013-01-02 11:00:00,0.947,0.771,0.078,0.58,0.201,0.779,0.113,0.019,0.203,0.097
2013-01-02 12:00:00,0.756,0.759,0.078,0.344,0.144,0.259,0.09,0.14,0.307,0.29
2013-01-02 13:00:00,0.518,0.843,0.068,0.437,0.945,0.304,0.302,0.021,0.23,0.3
2013-01-02 14:00:00,0.455,1.112,0.079,0.12,0.176,0.314,0.25,0.031,0.17,0.844
2013-01-02 15:00:00,0.58,1.829,0.069,0.386,0.112,0.138,0.479,0.001,0.195,0.286
2013-01-02 16:00:00,1.585,1.154,0.078,0.275,0.123,0.2,0.788,0.098,0.2,0.387
2013-01-02 17:00:00,0.621,1.298,0.068,0.603,0.327,0.219,1.04,0.143,0.269,0.311
2013-01-02 18:00:00,1.105,1.348,0.081,1.256,0.78,0.517,0.52,0.21,0.324,0.428
2013-01-02 19:00:00,1.137,1.72,0.118,0.173,0.415,0.41,0.436,0.109,0.357,0.262
2013-01-02 20:00:00,1.562,1.798,0.109,0.206,0.532,1.763,0.534,0.121,0.362,0.327
2013-01-02 21:00:00,1.951,2.02,0.111,0.209,1.095,0.529,0.582,0.078,0.304,0.435
2013-01-02 22:00:00,2.06,0.71,0.114,0.175,0.468,0.314,0.511,0.008,0.394,0.304
2013-01-02 23:00:00,1.504,0.29,0.172,0.235,0.371,1.784,0.185,0.014,0.383,0.301
2013-01-03 00:00:00,1.225,0.211,0.08,0.324,0.088,0.767,0.121,1.498,0.298,0.106
2013-01-03 01:00:00,0.32,0.297,0.069,0.109,0.11,0.143,0.108,2.955,0.159,0.094
2013-01-03 02:00:00,0.325,0.479,0.079,0.031,0.089,0.116,0.126,1.191,0.127,0.112
2013-01-03 03:00:00,0.369,0.205,0.069,0,0.086,0.106,0.103,0.396,0.134,0.113
2013-01-03 04:00:00,0.34,0.182,0.086,0.031,0.102,0.108,0.122,0.189,0.145,0.099
2013-01-03 05:00:00,0.282,0.133,0.079,0.034,0.059,0.108,0.175,0.167,0.117,0.095
2013-01-03 06:00:00,0.284,0.28,0.07,0.004,0.122,0.112,0.234,0.189,0.128,0.107
2013-01-03 07:00:00,0.283,0.422,0.079,0.035,0.049,0.929,0.122,0.075,0.141,0.113
2013-01-03 08:00:00,0.73,0.56,0.188,0.018,0.247,0.533,0.376,0.148,0.133,0.499
2013-01-03 09:00:00,0.622,0.6,0.134,0.019,0.214,0.264,0.296,0.043,0.094,0.388
2013-01-03 10:00:00,0.683,0.633,0.078,0.45,0.127,0.209,0.318,0.021,0.131,0.252
2013-01-03 11:00:00,0.446,0.729,0.069,2.021,0.084,0.3,0.203,0.021,0.154,0.095
2013-01-03 12:00:00,0.395,1.666,0.078,0.488,0.157,0.164,0.594,0.021,0.2,0.099
2013-01-03 13:00:00,0.871,0.984,0.078,0.162,0.122,0.129,0.287,0.001,0.252,0.471
2013-01-03 14:00:00,0.959,0.905,0.339,0.015,0.051,0.13,0.275,0.022,0.351,0.236
2013-01-03 15:00:00,0.646,1.058,0.732,0.031,0.11,0.152,0.227,0.022,0.893,0.305
2013-01-03 16:00:00,0.732,1.079,0.433,0.271,0.391,0.122,0.522,0.006,0.373,0.238
2013-01-03 17:00:00,0.857,1.108,0.635,0.383,0.312,0.287,0.931,0.131,0.331,1.409
2013-01-03 18:00:00,1.821,0.991,0.945,0.152,0.755,0.327,0.855,0.078,0.393,0.689
2013-01-03 19:00:00,1.295,1.254,0.555,0.639,0.409,0.452,0.652,0.077,0.332,0.402
2013-01-03 20:00:00,1.377,1.143,0.624,0.644,0.35,1.946,0.656,0.111,0.364,0.323
2013-01-03 21:00:00,1.908,1.128,1.633,0.207,0.362,0.527,0.675,0.1,0.357,0.366
2013-01-03 22:00:00,1.464,0.974,1.006,0.217,0.505,1.84,0.759,0.064,0.32,0.31
2013-01-03 23:00:00,1.579,1.486,0.867,0.208,0.475,0.652,0.167,0.023,0.28,0.299
2013-01-04 00:00:00,0.414,0.762,0.114,0.215,0.198,0.14,0.102,1.471,0.235,0.13
2013-01-04 01:00:00,0.307,0.217,0.173,0.488,0.139,0.119,0.107,2.218,0.155,0.096
2013-01-04 02:00:00,0.498,0.236,0.099,0.01,0.052,0.128,0.11,0.484,0.097,0.109
2013-01-04 03:00:00,0.548,0.225,0.078,0.033,0.129,0.188,0.092,0.297,0.149,0.113
2013-01-04 04:00:00,0.562,0.213,0.085,0.027,0.05,0.123,0.115,0.156,0.146,0.104
2013-01-04 05:00:00,0.522,0.144,0.074,0.006,0.129,0.145,0.17,0.207,0.111,0.097
2013-01-04 06:00:00,0.452,0.252,0.09,0.032,0.055,0.206,0.398,0.103,0.119,0.101
2013-01-04 07:00:00,0.489,0.462,0.613,0.018,0.112,0.916,0.188,0.1,0.17,0.114
2013-01-04 08:00:00,0.869,0.543,0.693,0.014,0.243,1.319,0.284,0.06,0.12,0.447
2013-01-04 09:00:00,0.851,0.62,1.86,0.328,0.233,0.481,0.336,0.176,0.111,0.468
2013-01-04 10:00:00,0.328,0.617,1.355,0.2,0.083,1.302,0.3,0.002,0.146,0.424
2013-01-04 11:00:00,1.054,0.835,0.492,0.419,0.083,0.998,0.192,0.02,0.166,0.368
2013-01-04 12:00:00,1.395,0.684,0.606,0.329,0.116,0.195,0.108,0.022,0.291,0.199
2013-01-04 13:00:00,0.907,0.665,0.07,0.01,0.155,0.13,0.114,0.022,0.342,0.097
2013-01-04 14:00:00,0.803,0.654,0.075,0.032,0.159,0.585,0.128,0.01,0.353,0.173
2013-01-04 15:00:00,1.034,0.933,0.076,0.408,0.072,0.271,0.235,0.012,0.594,0.193
2013-01-04 16:00:00,0.963,1.034,0.232,0.078,0.307,0.215,0.387,0.022,0.706,0.104
2013-01-04 17:00:00,0.848,0.984,0.561,0.125,0.3,0.357,0.729,0.022,0.674,0.17
2013-01-04 18:00:00,1.01,0.894,0.405,0.473,0.583,0.685,0.754,0.013,0.463,0.78
2013-01-04 19:00:00,1.204,0.874,0.464,0.448,0.374,0.507,0.783,0.046,0.342,1.058
2013-01-04 20:00:00,1.491,2.359,0.667,0.694,0.335,0.343,0.711,0.137,0.361,0.315
2013-01-04 21:00:00,1.283,1.282,0.508,0.21,0.452,0.372,0.655,0.087,0.409,0.299
2013-01-04 22:00:00,1.526,1.473,0.738,0.233,0.464,0.153,0.494,0.076,0.318,0.295
2013-01-04 23:00:00,1.616,1.398,0.497,0.214,0.323,0.312,0.239,0.077,0.339,0.236
2013-01-05 00:00:00,0.854,0.369,0.172,0.332,0.065,1.438,0.172,1.515,0.211,0.146
2013-01-05 01:00:00,0.339,0.249,0.091,0.194,0.131,0.163,0.129,2.978,0.193,0.101
2013-01-05 02:00:00,0.343,0.285,0.084,0.021,0.061,0.146,0.098,0.786,0.162,0.101
2013-01-05 03:00:00,0.358,0.143,0.064,0.022,0.104,0.135,0.122,0.23,0.18,0.111
2013-01-05 04:00:00,0.352,0.28,0.09,0.033,0.088,0.135,0.27,0.11,0.188,0.114
2013-01-05 05:00:00,0.32,0.319,0.064,0.009,0.077,0.136,0.352,0.378,0.163,0.114
2013-01-05 06:00:00,0.275,0.288,0.083,0.024,0.113,0.135,0.109,0.154,0.103,0.102
2013-01-05 07:00:00,0.304,0.327,0.362,0.035,0.059,0.142,0.367,0.026,0.139,0.099
2013-01-05 08:00:00,0.303,0.381,0.302,0.002,0.103,1.347,0.29,0.06,0.151,0.451
2013-01-05 09:00:00,1.051,0.676,0.375,0.037,0.205,1.417,0.31,0.192,0.111,0.484
2013-01-05 10:00:00,0.982,0.742,0.314,0.541,0.175,1.129,0.138,0.024,0.112,0.188
