Time,House_71,House_72,House_73,House_74,House_75,House_76,House_77,House_78,House_79,House_80
2013-01-01 01:00:00,0.194,0.16,2.657,0.232,0.766,0.066,0.208,0.317,0.026,0.761
2013-01-01 02:00:00,0.143,0.162,1.386,0.161,0.72,0.079,0.162,0.6,0.074,0.597
2013-01-01 03:00:00,0.154,0.162,0.757,0.205,0.718,0.074,0.19,0.27,0.038,0.373
2013-01-01 04:00:00,0.313,0.164,0.575,0.111,0.717,0.067,0.136,0.247,0.089,0.251
2013-01-01 05:00:00,0.448,0.175,0.609,0.109,0.889,0.104,0.196,0.239,0.029,0.251
2013-01-01 06:00:00,0.204,0.175,1.018,0.077,1.423,0.124,0.176,0.144,0.071,0.175
2013-01-01 07:00:00,0.151,0.172,1.027,0.096,1.308,0.088,0.37,0.319,0.217,0.34
2013-01-01 08:00:00,0.152,0.246,1.219,0.15,1.965,0.067,0.666,0.284,0.495,1.292
2013-01-01 09:00:00,0.157,0.18,1.121,0.304,2.392,0.086,0.538,0.376,0.281,0.242
2013-01-01 10:00:00,0.224,0.178,1.347,0.619,1.301,0.066,0.286,0.449,0.163,0.242
2013-01-01 11:00:00,0.287,0.175,1.631,0.372,1.318,0.071,0.214,0.421,0.072,0.372
2013-01-01 12:00:00,0.421,0.171,1.519,0.341,0.94,0.082,0.956,0.302,0.028,0.404
2013-01-01 13:00:00,0.523,0.166,2.025,0.325,0.768,0.067,0.749,0.48,0.081,0.444
2013-01-01 14:00:00,0.57,0.164,1.545,0.722,1.102,0.086,0.596,0.988,0.045,0.805
2013-01-01 15:00:00,0.43,0.165,0.978,0.58,1.211,0.067,0.547,1.126,0.066,1.201
2013-01-01 16:00:00,0.332,0.308,0.955,0.412,1.282,0.076,0.582,1.481,0.036,1.137
2013-01-01 17:00:00,0.229,0.364,1.001,0.722,1.501,0.076,1.102,1.117,0.209,1.004
2013-01-01 18:00:00,0.226,0.414,0.988,0.492,1.125,0.067,1.364,0.87,0.426,0.883
2013-01-01 19:00:00,0.388,0.689,2.327,0.599,1.352,0.085,0.695,0.74,0.124,0.6
2013-01-01 20:00:00,1.57,0.526,2.895,0.56,2.048,0.067,1.868,1.449,0.094,1.295
2013-01-01 21:00:00,0.738,0.385,1.946,0.796,1.162,0.08,1.399,1.295,0.045,2.962
2013-01-01 22:00:00,0.68,0.38,1.512,0.551,0.936,0.072,0.721,0.882,0.089,1.066
2013-01-01 23:00:00,0.53,0.448,1.555,0.537,0.813,0.066,0.473,0.625,0.049,0.487
2013-01-02 00:00:00,0.571,0.509,0.925,0.433,0.736,0.085,0.217,0.439,0.094,0.527
2013-01-02 01:00:00,0.561,0.698,0.759,0.304,0.715,0.065,0.159,0.277,0.049,0.58
2013-01-02 02:00:00,0.686,0.422,0.812,0.118,1.299,0.084,0.186,0.303,0.103,0.302
2013-01-02 03:00:00,0.539,0.253,0.892,0.092,1.448,0.065,0.163,0.188,0.062,0.129
2013-01-02 04:00:00,0.225,0.096,0.846,0.076,1.041,0.07,0.177,0.181,0.082,0.216
2013-01-02 05:00:00,0.221,0.094,0.876,0.086,1.153,0.079,0.125,0.269,0.062,0.22
2013-01-02 06:00:00,0.227,0.141,1.404,0.087,1.142,0.066,0.367,0.132,0.071,0.155
2013-01-02 07:00:00,0.399,0.136,1.657,0.072,0.862,0.083,1.634,0.279,0.261,0.126
2013-01-02 08:00:00,0.425,0.099,1.736,0.439,0.954,0.066,3.675,0.256,0.312,0.217
2013-01-02 09:00:00,0.42,0.095,1.952,0.203,0.813,0.071,0.723,0.213,0.221,0.217
2013-01-02 10:00:00,0.471,0.104,2.441,0.159,0.734,0.077,0.45,0.414,0.215,0.147
2013-01-02 11:00:00,0.404,0.106,1.526,0.193,0.663,0.065,0.199,0.95,0.08,0.245
