Time,House_21,House_22,House_23,House_24,House_25,House_26,House_27,House_28,House_29,House_30
2013-01-01 01:00:00,0.165,2.724,0.139,0.078,0.706,0.171,0.745,0.412,0.377,0.132
2013-01-01 02:00:00,0.119,2.748,0.082,0.074,0.07,0.09,0.744,0.372,0.378,0.134
2013-01-01 03:00:00,0.12,2.785,0.106,0.07,0.076,0.053,0.349,0.525,0.769,0.136
2013-01-01 04:00:00,0.118,2.784,0.141,0.07,0.059,0.059,0.435,0.287,0.933,0.113
2013-01-01 05:00:00,0.072,2.784,0.108,0.083,0.049,0.078,0.292,0.263,0.28,0.023
2013-01-01 06:00:00,0.069,2.846,0.077,0.067,0.068,0.055,0.256,0.266,0.321,0.023
2013-01-01 07:00:00,0.108,3.059,0.222,0.035,0.038,0.05,0.243,0.417,0.44,0.026
2013-01-01 08:00:00,0.467,3.311,0.138,0.145,0.07,0.502,0.334,0.375,0.317,0.023
2013-01-01 09:00:00,0.583,3.496,0.074,0.457,0.538,0.275,0.814,0.934,0.264,0.029
2013-01-01 10:00:00,0.361,2.971,0.106,0.683,1.219,0.465,0.727,0.787,0.206,0.023
2013-01-01 11:00:00,0.209,2.876,0.136,0.393,1.223,0.288,0.432,0.869,0.22,0.035
2013-01-01 12:00:00,0.277,3.002,0.096,0.23,0.617,0.259,0.779,0.6,0.367,0.08
2013-01-01 13:00:00,0.251,3.014,0.08,0.415,0.301,0.162,0.901,0.433,0.381,0.137
2013-01-01 14:00:00,0.232,3.014,0.137,0.208,0.396,0.266,2.568,0.468,0.414,0.175
2013-01-01 15:00:00,0.257,3.013,0.103,0.149,0.454,0.211,1.848,0.384,0.285,0.131
2013-01-01 16:00:00,0.216,3.103,0.075,0.256,0.381,0.391,1.552,0.351,0.273,0.057
2013-01-01 17:00:00,0.267,3.191,0.137,0.296,1.162,0.815,1.618,0.405,0.426,0.199
2013-01-01 18:00:00,0.377,3.232,0.09,0.634,0.786,0.594,1.512,0.418,0.86,0.163
2013-01-01 19:00:00,1.784,3.32,0.18,0.3,1.241,0.613,1.884,0.598,1.422,0.34
2013-01-01 20:00:00,0.349,3.227,0.165,0.331,1.21,0.297,1.547,0.455,1.495,0.266
2013-01-01 21:00:00,0.282,3.169,0.15,0.376,1.187,0.346,1.586,0.59,1.573,0.159
2013-01-01 22:00:00,1.141,4.21,0.098,0.543,1.194,0.312,1.717,0.498,1.179,0.15
2013-01-01 23:00:00,0.199,3.432,0.1,0.066,1.331,0.285,3.343,0.518,1.172,0.14
2013-01-02 00:00:00,0.153,2.818,0.141,0.097,0.877,0.286,0.946,0.537,1.041,0.133
2013-01-02 01:00:00,0.152,2.837,0.11,0.091,0.077,0.157,0.677,0.448,0.837,0.134
2013-01-02 02:00:00,0.116,2.839,0.075,0.087,0.06,0.063,0.694,0.639,0.686,0.126
2013-01-02 03:00:00,0.116,2.871,0.143,0.066,0.04,0.079,0.388,0.273,0.591,0.098
2013-01-02 04:00:00,0.094,2.88,0.105,0.067,0.067,0.061,0.209,0.257,0.283,0.023
2013-01-02 05:00:00,0.116,2.841,0.082,0.074,0.035,0.045,0.32,0.265,0.234,0.033
2013-01-02 06:00:00,0.123,2.817,0.142,0.165,0.068,0.061,0.31,0.27,0.3,0.028
2013-01-02 07:00:00,0.179,2.95,0.163,0.559,0.032,0.09,0.247,0.269,0.446,0.165
2013-01-02 08:00:00,0.251,3.796,0.118,0.362,0.059,0.759,0.353,0.263,0.314,0.021
2013-01-02 09:00:00,0.178,3.736,0.141,0.798,1.034,0.349,0.501,0.436,0.507,0.014
2013-01-02 10:00:00,0.079,3.549,0.124,0.412,1.203,0.204,0.652,0.482,0.597,0.052
2013-01-02 11:00:00,0.078,3.006,0.058,0.463,1.228,0.192,0.905,0.636,1.078,0.02
2013-01-02 12:00:00,0.14,2.829,0.146,0.228,1.18,0.221,0.948,0.528,2.118,0.088
2013-01-02 13:00:00,0.14,3.1,0.123,0.198,1.126,0.458,0.767,0.373,0.861,0.246
2013-01-02 14:00:00,0.109,2.655,0.059,0.238,1.17,0.265,1.849,0.423,1.109,0.085
2013-01-02 15:00:00,0.136,2.692,0.145,0.253,1.126,0.383,0.343,0.458,0.57,0.031
2013-01-02 16:00:00,0.117,2.673,0.1,0.211,1.18,0.274,1.704,0.382,0.251,0.109
2013-01-02 17:00:00,0.062,2.996,0.083,0.181,1.108,0.479,0.998,0.599,0.389,0.174
2013-01-02 18:00:00,0.104,3.289,0.142,0.391,1.147,1.281,1.842,0.47,0.441,0.249
2013-01-02 19:00:00,0.178,3.899,0.154,0.421,1.178,0.405,0.784,0.582,0.422,0.217
2013-01-02 20:00:00,1.163,4.131,0.144,0.762,1.248,0.361,0.491,0.532,0.348,0.469
2013-01-02 21:00:00,0.344,4.153,0.155,0.41,0.913,0.469,0.786,0.563,0.367,0.13
2013-01-02 22:00:00,0.438,4.131,0.146,0.441,0.266,0.281,2.062,0.451,0.381,0.184
2013-01-02 23:00:00,0.118,3.228,0.047,0.1,0.348,0.279,1.152,0.518,0.352,0.138
2013-01-03 00:00:00,0.12,2.752,0.145,0.1,0.264,0.308,1.253,0.492,0.338,0.132
2013-01-03 01:00:00,0.109,2.736,0.14,0.09,0.082,0.116,1.218,0.452,0.386,0.13
2013-01-03 02:00:00,0.1,2.704,0.058,0.083,0.048,0.066,0.84,0.519,0.762,0.049
2013-01-03 03:00:00,0.097,2.735,0.135,0.072,0.072,0.08,0.58,0.36,0.647,0.027
2013-01-03 04:00:00,0.12,2.723,0.139,0.066,0.047,0.07,0.263,0.272,0.56,0.024
2013-01-03 05:00:00,0.119,2.746,0.045,0.068,0.05,0.082,0.33,0.275,0.188,0.016
2013-01-03 06:00:00,0.116,2.99,0.144,0.131,0.069,0.054,0.193,0.287,0.275,0.115
2013-01-03 07:00:00,0.176,3.67,0.218,0.487,0.037,0.063,0.459,0.285,0.424,0.126
2013-01-03 08:00:00,0.229,3.821,0.055,0.347,0.061,0.245,0.42,0.261,0.211,0.024
2013-01-03 09:00:00,0.202,3.86,0.137,0.63,0.369,0.509,0.322,0.255,0.177,0.015
2013-01-03 10:00:00,0.191,3.352,0.139,0.696,1.175,0.133,0.847,0.879,0.174,0.044
2013-01-03 11:00:00,0.191,3.122,0.08,0.45,1.232,0.101,0.883,0.515,0.174,0.039
2013-01-03 12:00:00,0.164,2.89,0.109,0.412,1.144,0.123,0.738,0.455,0.19,0.077
2013-01-03 13:00:00,0.141,2.66,0.142,0.123,1.102,0.268,0.828,0.777,0.19,0.328
2013-01-03 14:00:00,0.174,2.832,0.08,0.264,1.036,0.177,0.603,0.453,0.218,0.1
2013-01-03 15:00:00,0.19,2.765,0.11,0.148,0.181,0.431,0.316,0.386,0.339,0.033
2013-01-03 16:00:00,0.189,2.747,0.14,0.176,0.652,0.282,0.325,0.455,0.65,0.112
2013-01-03 17:00:00,0.187,2.78,0.066,0.178,0.797,0.521,0.276,0.419,1.154,0.157
2013-01-03 18:00:00,0.137,2.962,0.124,0.44,1.117,0.469,0.257,0.67,1.502,0.246
2013-01-03 19:00:00,0.349,3.311,0.215,0.389,1.189,0.35,0.269,0.783,1.306,0.282
2013-01-03 20:00:00,0.482,3.292,0.129,0.293,1.322,0.303,0.538,0.491,1.323,0.404
2013-01-03 21:00:00,0.295,3.339,0.095,0.269,0.789,0.436,0.848,0.662,1.259,0.183
2013-01-03 22:00:00,0.22,3.38,0.146,0.438,0.25,0.15,0.526,0.536,1.338,0.138
2013-01-03 23:00:00,0.17,3.132,0.132,0.191,0.32,0.095,1.084,0.522,1.329,0.133
2013-01-04 00:00:00,0.07,2.975,0.054,0.169,0.212,0.132,1.313,0.866,0.808,0.067
2013-01-04 01:00:00,0.105,2.905,0.146,0.094,0.078,0.222,0.786,0.436,0.886,0.021
2013-01-04 02:00:00,0.121,2.856,0.137,0.092,0.054,0.07,0.448,0.356,0.988,0.027
2013-01-04 03:00:00,0.12,2.816,0.048,0.075,0.044,0.083,0.338,0.28,0.455,0.024
2013-01-04 04:00:00,0.104,2.816,0.147,0.071,0.07,0.063,0.246,0.265,0.4,0.027
2013-01-04 05:00:00,0.07,2.818,0.122,0.067,0.049,0.059,0.242,0.282,0.288,0.017
2013-01-04 06:00:00,0.086,2.839,0.061,0.07,0.045,0.061,0.23,0.28,0.324,0.151
2013-01-04 07:00:00,0.179,3.462,0.224,0.067,0.068,0.065,0.131,0.266,0.452,0.162
2013-01-04 08:00:00,0.25,4.452,0.137,0.123,0.041,0.416,0.3,0.264,0.238,0.177
2013-01-04 09:00:00,0.197,4.286,0.051,0.83,0.318,0.249,0.331,0.428,0.231,0.075
2013-01-04 10:00:00,0.15,2.952,0.13,0.757,1.147,0.173,0.979,0.792,0.228,0.025
2013-01-04 11:00:00,0.173,2.64,0.134,0.335,1.205,0.521,0.824,0.963,0.227,0.024
2013-01-04 12:00:00,0.193,2.652,0.069,0.266,0.162,0.218,0.76,0.685,0.247,0.033
2013-01-04 13:00:00,0.187,2.731,0.109,0.179,0.062,0.159,0.552,0.48,0.248,0.342
2013-01-04 14:00:00,0.155,2.917,0.136,0.295,0.035,0.131,0.42,0.988,0.483,0.13
2013-01-04 15:00:00,0.141,2.864,0.068,0.189,0.606,0.369,0.37,0.533,0.591,0.038
2013-01-04 16:00:00,0.151,2.733,0.945,0.171,1.178,0.318,0.375,0.501,0.675,0.11
2013-01-04 17:00:00,0.175,2.769,1.348,0.19,0.743,0.48,0.429,0.424,0.955,0.175
2013-01-04 18:00:00,0.189,2.963,0.97,0.178,1.149,0.398,0.669,0.567,1.507,0.233
2013-01-04 19:00:00,0.441,3.244,0.203,0.332,1.188,1.692,0.637,0.553,0.395,0.574
2013-01-04 20:00:00,0.297,3.321,0.154,0.379,1.265,0.469,0.572,0.442,0.299,0.235
2013-01-04 21:00:00,0.265,3.448,0.139,0.341,1.251,0.191,0.763,0.582,0.296,0.155
2013-01-04 22:00:00,0.235,3.06,0.064,0.394,1.211,0.142,0.95,0.581,0.298,0.09
2013-01-04 23:00:00,0.124,3.008,0.132,0.379,1.286,0.087,1.507,0.505,0.297,0.14
2013-01-05 00:00:00,0.12,3.032,0.141,0.026,1.213,0.133,0.996,0.437,0.286,0.038
2013-01-05 01:00:00,0.086,3.035,0.094,0.128,0.098,0.365,1.049,0.413,0.279,0.024
2013-01-05 02:00:00,0.07,3.046,0.094,0.061,0.048,0.115,0.505,0.297,0.304,0.023
2013-01-05 03:00:00,0.115,3.036,0.143,0.076,0.048,0.054,0.415,0.27,0.34,0.02
2013-01-05 04:00:00,0.121,2.869,0.097,0.077,0.068,0.079,0.296,0.255,0.337,0.023
2013-01-05 05:00:00,0.119,2.83,0.09,0.075,0.058,0.078,0.278,0.251,0.283,0.024
2013-01-05 06:00:00,0.088,2.842,0.142,0.071,0.039,0.092,0.16,0.272,0.278,0.018
2013-01-05 07:00:00,0.082,3.429,0.077,0.095,0.046,0.061,0.213,0.264,0.334,0.023
2013-01-05 08:00:00,0.105,3.2,0.172,0.069,0.064,0.347,0.223,0.262,0.276,0.092
2013-01-05 09:00:00,0.37,2.876,0.183,0.17,0.052,0.243,0.91,0.464,0.282,0.147
2013-01-05 10:00:00,0.584,2.788,0.14,1.197,0.039,0.105,0.824,0.894,0.281,0.072
2013-01-05 11:00:00,0.198,2.648,0.043,0.458,1.146,0.201,0.775,0.793,0.279,0.128
2013-01-05 12:00:00,0.13,2.579,0.148,0.546,1.198,0.28,0.654,0.518,0.296,0.143
2013-01-05 13:00:00,0.138,2.67,0.139,0.453,1.17,0.175,0.29,0.421,0.296,0.378
2013-01-05 14:00:00,0.166,2.691,0.078,0.321,0.184,0.177,0.811,0.383,0.297,0.116
2013-01-05 15:00:00,0.176,2.711,0.112,0.163,0.117,0.118,0.682,0.518,0.311,0.131
2013-01-05 16:00:00,0.151,2.756,0.141,0.151,0.701,0.228,0.689,0.409,0.347,0.181
2013-01-05 17:00:00,0.147,2.812,0.097,0.369,1.195,0.378,0.831,0.369,0.456,0.149
2013-01-05 18:00:00,0.1,2.865,0.088,0.499,0.691,0.538,0.642,0.62,0.295,0.169
2013-01-05 19:00:00,0.146,2.858,0.198,0.398,1.174,0.327,0.846,0.55,0.28,0.236
2013-01-05 20:00:00,0.152,2.873,0.182,0.371,1.254,0.259,0.777,0.496,0.279,0.465
2013-01-05 21:00:00,0.353,2.88,0.072,0.37,1.177,0.31,0.891,0.609,0.276,0.153
2013-01-05 22:00:00,0.439,2.925,0.12,0.618,1.197,0.143,0.899,0.458,0.269,0.178
2013-01-05 23:00:00,0.203,2.894,0.14,0.23,1.319,0.088,1.364,0.571,0.261,0.22
2013-01-06 00:00:00,0.162,2.857,0.106,0.038,1.212,0.159,0.865,0.397,0.263,0.13
2013-01-06 01:00:00,0.094,2.861,0.083,0.088,0.478,0.262,0.72,0.257,0.251,0.132
2013-01-06 02:00:00,0.092,2.871,0.143,0.066,0.071,0.113,0.45,0.287,0.25,0.134
2013-01-06 03:00:00,0.125,2.863,0.122,0.062,0.05,0.058,0.365,0.28,0.248,0.056
2013-01-06 04:00:00,0.125,2.849,0.065,0.096,0.042,0.056,0.255,0.251,0.243,0.019
2013-01-06 05:00:00,0.123,2.853,0.143,0.083,0.05,0.056,0.291,0.253,0.238,0.028
2013-01-06 06:00:00,0.096,2.843,0.114,0.054,0.062,0.056,0.19,0.262,0.283,0.018
2013-01-06 07:00:00,0.074,2.865,0.07,0.093,0.049,0.069,0.259,0.287,0.399,0.022
2013-01-06 08:00:00,0.1,2.908,0.203,0.607,0.038,0.376,0.254,0.274,0.279,0.023
2013-01-06 09:00:00,0.12,2.877,0.178,0.802,0.324,0.192,0.544,0.445,0.236,0.016
2013-01-06 10:00:00,0.548,2.806,0.084,0.373,1.251,0.066,1.028,0.977,0.231,0.06
2013-01-06 11:00:00,0.167,2.682,0.103,0.168,1.224,0.298,0.736,0.484,0.245,0.079
2013-01-06 12:00:00,1.435,2.635,0.141,0.2,1.288,2.164,0.347,0.449,0.273,0.101
2013-01-06 13:00:00,0.48,2.743,0.124,0.498,1.195,0.205,0.397,0.464,0.241,0.363
2013-01-06 14:00:00,0.197,2.745,0.059,0.48,1.176,0.174,1.027,0.556,0.239,0.043
2013-01-06 15:00:00,0.245,2.778,0.145,0.479,1.129,0.381,0.837,0.376,0.281,0.055
2013-01-06 16:00:00,0.261,2.784,0.138,0.181,0.89,0.193,1.034,0.445,0.24,0.064
2013-01-06 17:00:00,0.2,2.835,0.041,0.247,0.896,0.432,0.401,0.381,0.243,0.069
2013-01-06 18:00:00,0.361,2.891,0.148,0.317,1.19,0.974,0.796,0.534,0.271,0.214
2013-01-06 19:00:00,0.234,2.931,0.196,0.388,1.175,0.452,0.807,0.45,0.22,0.517
2013-01-06 20:00:00,0.35,3.918,0.112,0.46,1.243,0.35,0.871,0.552,0.335,0.269
2013-01-06 21:00:00,0.467,3.92,0.129,0.328,1.196,0.369,0.733,0.622,0.343,0.147
